Time,Voltage
00:04:05,3.07375002
00:04:06,3.07625008
00:04:07,3.07500005
00:04:08,3.07124996
00:04:09,3.07249999
00:04:10,3.07249999
00:04:11,3.07375002
00:04:12,3.07375002
00:04:13,3.07500005
00:04:14,3.07375002
00:04:15,-1.00000000
00:04:16,-1.00000000
00:04:17,-1.00000000
00:04:18,-1.00000000
00:04:19,4.01125002
00:04:20,-1.00000000
00:04:21,-1.00000000
00:04:23,-1.00000000
00:04:24,-1.00000000
00:04:25,-1.00000000
00:04:26,-1.00000000
00:04:27,-1.00000000
00:04:28,-1.00000000
00:04:29,-1.00000000
00:04:30,-1.00000000
00:04:31,-1.00000000
00:04:32,-1.00000000
00:04:33,-1.00000000
00:04:34,-1.00000000
00:04:35,-1.00000000
00:04:36,-1.00000000
00:04:37,-1.00000000
00:04:38,-1.00000000
00:04:39,-1.00000000
00:04:40,-1.00000000
00:04:41,-1.00000000
00:04:42,-1.00000000
00:04:43,-1.00000000
00:04:44,-1.00000000
00:04:45,3.07750010
00:04:46,3.07750010
00:04:47,3.07750010
00:04:48,3.08124995
00:04:49,3.07874990
00:04:50,3.07874990
00:04:51,3.08249998
00:04:52,3.07999992
00:04:53,3.07999992
00:04:54,3.07874990
00:04:55,-1.00000000
00:04:57,3.96499991
00:04:58,3.98000002
00:04:59,3.97874999
00:05:00,3.97749996
00:05:01,3.97874999
00:05:02,3.98000002
00:05:03,3.97749996
00:05:04,3.97125006
00:05:05,3.97874999
00:05:06,3.98000002
00:05:07,3.97874999
00:05:08,3.97874999
00:05:09,3.97874999
00:05:10,3.97624993
00:05:11,3.95624995
00:05:12,3.97125006
00:05:13,3.97874999
00:05:14,3.97000003
00:05:15,3.98000002
00:05:16,3.82500005
00:05:17,3.97125006
00:05:18,3.72000003
00:05:19,3.94000006
00:05:20,3.82625008
00:05:21,3.89499998
00:05:22,3.90124989
00:05:23,3.91249990
00:05:24,3.89875007
00:05:25,-1.00000000
00:05:26,-1.00000000
00:05:27,-1.00000000
00:05:28,-1.00000000
00:05:29,-1.00000000
00:05:30,-1.00000000
00:05:31,-1.00000000
00:05:32,-1.00000000
00:05:34,-1.00000000
00:05:35,-1.00000000
00:05:36,-1.00000000
00:05:37,3.07999992
00:05:38,3.07625008
00:05:39,3.08124995
00:05:40,3.07999992
00:05:41,3.07750010
00:05:42,3.07750010
00:05:43,3.07500005
00:05:44,3.07874990
00:05:45,3.07750010
00:05:46,-1.00000000
00:05:47,-1.00000000
00:05:48,-1.00000000
00:05:49,-1.00000000
00:05:50,-1.00000000
00:05:51,-1.00000000
00:05:52,-1.00000000
00:05:53,-1.00000000
00:05:54,3.07750010
00:05:55,3.07999992
00:05:56,-1.00000000
00:05:57,-1.00000000
00:05:58,-1.00000000
00:05:59,-1.00000000
00:06:00,-1.00000000
00:06:01,-1.00000000
00:06:02,-1.00000000
00:06:03,-1.00000000
00:06:04,-1.00000000
00:06:05,-1.00000000
00:06:06,-1.00000000
00:06:07,-1.00000000
00:06:09,-1.00000000
00:06:10,-1.00000000
00:06:11,-1.00000000
00:06:12,-1.00000000
